label,text
ham,I booked us a table at the Italian restaurant for 7:30 PM this Saturday. Can't wait!
spam,Make your ex jealous! Use our proven attraction system. 100% success rate guaranteed!
ham,Just a reminder that your library books are due for return by next Monday.
spam,Free trial of our premium software! No credit card needed. Cancel anytime. Download now!
ham,The new employee onboarding schedule has been finalized. Please review it at your convenience.
spam,You have been randomly selected to test our new product for FREE! Just pay shipping of $9.99.
ham,I will be presenting the research findings to the board next Thursday. Wish me luck!
spam,Hot investment tip! This penny stock is about to explode 1000%. Buy before it is too late!
ham,Thanks for a great meeting today. I think we made some real progress on the roadmap.
spam,Claim your FREE home security system! Limited time government offer. Call 1-800-HOMESCAM.
ham,Please let me know your availability for a quick sync call sometime this week.
spam,Nigerian prince needs your help to transfer $45 million. You will receive 30% as commission!
ham,The new feature is ready for testing in the QA environment. Please check it out.
spam,WARNING: Your Google account will be deleted in 24 hours unless you verify your identity now!
ham,It was great meeting you at the conference. Let's stay in touch and explore collaboration.
spam,You qualify for a FREE medical alert device! Protect your family. Call now to receive yours!
ham,I will send over the meeting notes and action items before the end of business today.
spam,Become a millionaire using our proven forex trading system! Risk free guaranteed profits daily!
ham,Just to let you know, I will be on leave from the 15th to the 22nd of this month.
spam,Congratulations! Apple has selected you for our annual customer loyalty reward of $500!
ham,Could you help me set up the new development environment? I'm running into some issues.
spam,Your Microsoft account was accessed from an unknown location. Click here to secure it now!
